timestamp,metric,value
2025-06-16 15:27:54,total_size,40414414
2025-06-16 15:27:54,wal_size,16789504
2025-06-16 15:27:54,base_size,22892721
2025-06-16 15:57:55,total_size,72496978
2025-06-16 15:57:55,wal_size,33566720
2025-06-16 15:57:55,base_size,38198069
2025-06-16 16:27:56,total_size,86054738
2025-06-16 16:27:56,wal_size,33566720
2025-06-16 16:27:56,base_size,51755829
2025-06-16 16:57:56,total_size,99850066
2025-06-16 16:57:56,wal_size,33566720
2025-06-16 16:57:56,base_size,65559349
2025-06-16 17:27:57,total_size,114669394
2025-06-16 17:27:57,wal_size,33566720
2025-06-16 17:27:57,base_size,80378677
